20250612 091400;6058.5;6059;6058.5;6059;14
20250612 091500;6058.75;6058.75;6058;6058;16
20250612 091600;6058;6058.5;6057.25;6058.5;24
20250612 091700;6058.5;6059.25;6058.25;6058.25;19
20250612 091800;6058;6058;6057.25;6057.25;14
20250612 091900;6057;6057;6056;6057;24
20250612 092000;6056.5;6057.5;6056.5;6057.5;2
20250612 092100;6057.5;6058.75;6057.5;6057.75;16
20250612 092200;6058.25;6058.25;6056.75;6057.25;14
20250612 092300;6057.25;6057.25;6056.75;6056.75;4
20250612 092400;6056.5;6057;6056.5;6057;5
20250612 092500;6056.75;6056.75;6056.75;6056.75;3
20250612 092600;6056.5;6056.5;6055.5;6056;21
20250612 092700;6056.25;6056.25;6056;6056.25;3
20250612 092800;6056.5;6057;6056.5;6056.5;9
20250612 092900;6056.5;6056.5;6054.5;6054.5;42
20250612 093000;6054;6057.75;6053.75;6057.5;95
20250612 093100;6057.5;6059.25;6057.25;6057.25;21
20250612 093200;6057.5;6058;6056.75;6058;7
20250612 093300;6058.75;6059.25;6058.75;6059;12
20250612 093400;6058.5;6059.5;6058.5;6059.5;20
20250612 093500;6059;6060.5;6058;6060.5;32
20250612 093600;6060.5;6064;6060.5;6063.5;94
20250612 093700;6063.75;6064.25;6063.25;6063.5;34
20250612 093800;6063.25;6063.75;6061.25;6062.25;29
20250612 093900;6061.75;6062.5;6061.75;6062.25;12
20250612 094000;6062.25;6062.25;6062;6062;3
20250612 094100;6061.25;6061.25;6059;6059;17
20250612 094200;6059.25;6059.5;6059.25;6059.5;6
20250612 094300;6059.25;6059.25;6058.25;6058.25;16
20250612 094400;6057.5;6058;6056;6058;21
20250612 094500;6058.75;6059;6058.5;6058.5;10
20250612 094600;6058.5;6059.5;6058.5;6059.5;2
20250612 094700;6059.25;6059.5;6057.5;6059.5;37
20250612 094800;6060.25;6061;6059.25;6059.25;20
20250612 094900;6060.25;6060.25;6059.25;6059.25;3
20250612 095000;6058.5;6058.5;6057.25;6057.25;17
20250612 095100;6057;6057.5;6056.5;6056.75;38
20250612 095200;6056.75;6057.5;6056.75;6056.75;26
20250612 095300;6057;6057;6055;6055.5;14
20250612 095400;6055.5;6056;6055;6055.5;29
20250612 095500;6055.5;6056.75;6055.5;6056;18
20250612 095600;6056;6056.25;6056;6056.25;15
20250612 095700;6056;6056.25;6056;6056.25;6
20250612 095800;6056.5;6057;6056.25;6056.5;16
20250612 095900;6056.5;6057;6056.5;6057;11
20250612 100000;6056.5;6056.5;6055.75;6056;6
20250612 100100;6056.25;6056.25;6053;6053.75;26
20250612 100200;6053.5;6056.5;6052.75;6056.5;25
20250612 100300;6057.5;6057.75;6057.5;6057.5;6
20250612 100400;6057.5;6057.75;6057;6057;4
20250612 100500;6057.25;6057.25;6056;6056;6
20250612 100600;6055.25;6056.25;6055.25;6056;7
20250612 100700;6055.75;6056;6055.25;6056;9
20250612 100800;6056;6056;6054.5;6054.5;7
20250612 100900;6054;6054;6053.5;6054;11
20250612 101000;6054;6054;6052.75;6053;5
20250612 101100;6053.5;6054;6052.75;6052.75;70
20250612 101200;6053;6054.25;6053;6053;18
20250612 101300;6052.5;6052.5;6050.5;6051.5;50
20250612 101400;6051.5;6052;6051;6051.25;13
20250612 101500;6052;6053.5;6052;6053.5;9
20250612 101600;6054;6056.5;6054;6056.5;21
20250612 101700;6057;6057;6056.25;6056.25;8
20250612 101800;6056.75;6057;6056.5;6057;15
20250612 101900;6057.25;6057.25;6056.25;6056.5;6
20250612 102000;6057;6057.25;6055.5;6055.5;18
20250612 102100;6055.75;6056.25;6054;6054;20
20250612 102200;6053.5;6053.5;6053.5;6053.5;6
20250612 102300;6053.5;6053.75;6052.75;6053;18
20250612 102400;6053.75;6053.75;6051.25;6052;45
20250612 102500;6051.75;6051.75;6048.25;6048.75;54
20250612 102600;6048.5;6048.75;6047;6047.5;78
20250612 102700;6047.75;6050.5;6047.75;6050.5;29
20250612 102800;6051.25;6051.25;6049.5;6049.5;9
20250612 102900;6049.5;6050.5;6049.5;6049.75;22
20250612 103000;6050.25;6050.25;6050.25;6050.25;2
20250612 103100;6050.5;6052;6050.5;6052;16
20250612 103200;6051.5;6053.25;6050.25;6051.75;81
20250612 103300;6052;6052;6050;6050.75;19
20250612 103400;6050.75;6050.75;6049.75;6050.25;17
20250612 103500;6049.5;6050;6049.25;6050;5
20250612 103600;6049;6049.75;6048.5;6049.75;8
20250612 103700;6049.5;6050;6049;6050;20
20250612 103800;6050;6051.5;6049.5;6051.25;24
20250612 103900;6051;6052;6050.75;6051.75;47
20250612 104000;6051.75;6052.25;6050.25;6050.75;50
20250612 104100;6051;6051.75;6051;6051.75;45
20250612 104200;6051.75;6054.75;6051.25;6053.75;22
20250612 104300;6054;6054;6053.75;6053.75;10
20250612 104400;6054;6054.25;6054;6054;14
20250612 104500;6054;6054.25;6053.25;6054.25;20
20250612 104600;6054.25;6057.25;6054;6056.75;69
20250612 104700;6057;6057.25;6055.25;6055.25;25
20250612 104800;6055.75;6055.75;6055.25;6055.5;5
20250612 104900;6056.25;6056.75;6056.25;6056.25;8
20250612 105000;6056.25;6057;6056;6056;28
20250612 105100;6056.25;6056.75;6056;6056.75;30
20250612 105200;6056.25;6058;6056;6058;21
20250612 105300;6058;6058;6056.5;6056.75;20
20250612 105400;6056.5;6057;6056.25;6056.5;13
20250612 105500;6056.5;6057;6056.25;6057;9
20250612 105600;6057.25;6058.25;6055;6055;72
20250612 105700;6055.25;6055.25;6053.25;6053.25;63
20250612 105800;6053.25;6054;6052.75;6053.25;18
20250612 105900;6053;6053.5;6052.75;6053.5;8
20250612 110000;6053.5;6054;6053.25;6053.75;10
20250612 110100;6053.5;6054.75;6052.75;6053.25;65
20250612 110200;6053;6053.5;6052.5;6053.25;20
20250612 110300;6052.5;6052.5;6051.5;6051.5;19
20250612 110400;6051.75;6053.5;6051.75;6053.25;8
20250612 110500;6053.5;6053.5;6052.5;6052.75;10
20250612 110600;6052.25;6052.25;6049.25;6050.25;74
20250612 110700;6051;6051.5;6049.25;6050.75;45
20250612 110800;6050.75;6053;6050.5;6053;27
20250612 110900;6053.25;6053.75;6053.25;6053.5;15
20250612 111000;6053.5;6054.25;6053.5;6054;7
20250612 111100;6054;6055;6053.75;6053.75;15
20250612 111200;6053.5;6054;6052.25;6053.75;32
20250612 111300;6054;6055;6052.5;6053.25;74
20250612 111400;6053;6053;6052.5;6052.75;12
20250612 111500;6052.75;6052.75;6051;6051;57
20250612 111600;6050.25;6050.75;6049.75;6050.75;24
20250612 111700;6051.25;6051.5;6049.75;6050;24
20250612 111800;6050;6050.5;6050;6050.5;14
20250612 111900;6050;6050.5;6049.5;6050.5;29
20250612 112000;6050.25;6051.25;6050.25;6051.25;19
20250612 112100;6051.25;6052;6050.25;6051.75;55
20250612 112200;6051.25;6051.25;6051;6051.25;4
20250612 112300;6051.5;6051.5;6050.25;6051.25;26
20250612 112400;6050.75;6051;6050.25;6051;4
20250612 112500;6050.75;6051.25;6050.75;6051.25;22
20250612 112600;6050.75;6050.75;6050.25;6050.75;9
